feature,importance,rank
operaciones_total,2300,1
operaciones_vs_roll_mean_12,1044,2
operaciones_delta_1,1041,3
operaciones_por_destino,1037,4
operaciones_vs_roll_mean_3,938,5
latitude_deg,913,6
pasajeros_total_roll_mean_12,891,7
carga_kg_por_operacion_lag_3,880,8
meteo_adverso_score_roll_mean_12,794,9
longitude_deg,680,10
dewpoint_media_c,628,11
dewpoint_depression_c,602,12
visibilidad_std_sm,577,13
temp_std_c,564,14
pasajeros_por_operacion_lag_12,558,15
n_empresas_llegada,543,16
viento_medio_kt,540,17
prop_niebla,538,18
n_destinos_total_lag_12,523,19
cobertura_metar_ratio_lag_12,511,20
operaciones_otras,407,21
visibilidad_rango_sm,386,22
meteo_adverso_score_lag_3,306,23
meteo_adverso_score_lag_2,303,24
temp_max_c,288,25
meteo_adverso_score_lag_1,255,26
historial_lag_3_disponible,235,27
prop_tormenta,230,28
prop_lluvia,221,29
viento_max_kt,218,30
rafaga_max_kt,217,31
temp_min_c,173,32
n_metar_esperados_mes,151,33
prop_rafaga,141,34
prop_viento_fuerte,63,35
historial_lag_12_disponible,60,36
historial_lag_1_disponible,7,37
tiene_od_mes,1,38
